row_id,utc,actor,role,venue,event,names_metr,metr_language,views,url,source_note,notes
IF67,2026-09-12 22:05,Adam Majmudar (@MajmudarAdam),OpenAI research (on leave from Penn),X post (reply),"Says evaluators should be people with a long record of independence; ""METR seems like a good initial example which Dario suggested""",yes,I think it will/should be people with a long background of being independent/having a motivation function of trying to understand + keep the labs in check. METR seems like a good initial example which Dario suggested,142,https://x.com/MajmudarAdam/status/2098895690420343018,"Grok lane lead; audit-2 source re-fetched via fxtwitter 2026-09-14T07:13:03.242522+00:00; research/audit2-evidence/fx-2098895690420343018.json. Views retain the earlier snapshot, with new views recorded separately in post-comparison.csv. Earlier 00:23/01:40 UTC fetch labels are not reliable UTC provenance.","reply layer | audit-2 2026-09-14: was {""source_note"": ""fxtwitter refetch 2026-09-14 05:23 UTC (research/fx-lane6/fx_<id>.json); located by Grok G6 lane (research/grok-out/G6-insiders.csv)""}. See research/AUDIT-2.md and audit2-evidence/."
IF68,2026-09-12 17:26,Alexander Barry (@AlexBarry4),Epoch AI statistician; listed on metr.org/about as METR Research Collaborator (N58),X post (reply to Recht),"Defends METR: no funding to date from Open Philanthropy/Coefficient; no lab funding beyond API credits; no donations from lab-wealth individuals; Barnes left OpenAI four years ago; Christiano sits on the OpenAI nonprofit safety board, which he calls distinct from a commercial interest",yes,"METR has received no funding to date from Open Philanthropy (/Coefficient Giving). They also take no funding from the labs (beyond API credits) and don't accept donations from individuals whose source of wealth is from working at the labs. ... I agree Paul seems like a clearer cause for having some pause, but he is on the non-profits safety board",426,https://x.com/AlexBarry4/status/2098825682277294389,"Grok lane lead; audit-2 source re-fetched via fxtwitter 2026-09-14T07:13:03.731837+00:00; research/audit2-evidence/fx-2098825682277294389.json. Views retain the earlier snapshot, with new views recorded separately in post-comparison.csv. Earlier 00:23/01:40 UTC fetch labels are not reliable UTC provenance.","reply layer | audit-2 2026-09-14: was {""source_note"": ""fxtwitter refetch 2026-09-14 05:23 UTC (research/fx-lane6/fx_<id>.json); located by Grok G6 lane (research/grok-out/G6-insiders.csv)""}. See research/AUDIT-2.md and audit2-evidence/."
IF69,2026-09-12 19:45,Logan Graham (@logangraham),"Anthropic, head of the Frontier Red Team",X post,"""Let a thousand METRs bloom""; invites founders to start independent auditors and offers ""advice/connections/maybe $!""",yes,"Let a thousand METRs bloom. If you're a founder type and AI safety-curious, maybe you should start an independent auditor/evaluator. Happy to help w/ advice/connections/maybe $!",113967,https://x.com/logangraham/status/2098860520086667388,"Grok lane lead; audit-2 source re-fetched via fxtwitter 2026-09-14T07:13:04.129765+00:00; research/audit2-evidence/fx-2098860520086667388.json. Views retain the earlier snapshot, with new views recorded separately in post-comparison.csv. Earlier 00:23/01:40 UTC fetch labels are not reliable UTC provenance.","reply layer | audit-2 2026-09-14: was {""source_note"": ""fxtwitter refetch 2026-09-14 05:23 UTC (research/fx-lane6/fx_<id>.json); located by Grok G6 lane (research/grok-out/G6-insiders.csv)""}. See research/AUDIT-2.md and audit2-evidence/."
IF70,2026-09-12 19:16,Drake Thomas (@MaskedTorah),"Anthropic staff (system cards, risk reports)",X post,"Recruits for METR: ""today is a great day to apply to METR"", linking metr.work",yes,"If you are good at investigating the behavior of powerful AI models, today is a great day to apply to METR: https://metr.work",30478,https://x.com/MaskedTorah/status/2098853382274605216,"Grok lane lead; audit-2 source re-fetched via fxtwitter 2026-09-14T07:13:04.398185+00:00; research/audit2-evidence/fx-2098853382274605216.json. Views retain the earlier snapshot, with new views recorded separately in post-comparison.csv. Earlier 00:23/01:40 UTC fetch labels are not reliable UTC provenance.","reply layer | audit-2 2026-09-14: was {""source_note"": ""fxtwitter refetch 2026-09-14 05:23 UTC (research/fx-lane6/fx_<id>.json); located by Grok G6 lane (research/grok-out/G6-insiders.csv)""}. See research/AUDIT-2.md and audit2-evidence/."
IF71,2026-09-12 19:52,Logan Graham (@logangraham),"Anthropic, head of the Frontier Red Team",X post (reply),"Vouches for the METR investigators of the Anthropic incidents: ""aren't cyber experts and they did a phenomenal job""",yes,"It's a general problem, not a cyber-specific one: how do you audit the behavior of weird intelligences? The 3 METR investigators aren't cyber experts and they did a phenomenal job!",1220,https://x.com/logangraham/status/2098862220801458299,"Grok lane lead; audit-2 source re-fetched via fxtwitter 2026-09-14T07:13:04.938490+00:00; research/audit2-evidence/fx-2098862220801458299.json. Views retain the earlier snapshot, with new views recorded separately in post-comparison.csv. Earlier 00:23/01:40 UTC fetch labels are not reliable UTC provenance.","reply layer | audit-2 2026-09-14: was {""source_note"": ""fxtwitter refetch 2026-09-14 05:23 UTC (research/fx-lane6/fx_<id>.json); located by Grok G6 lane (research/grok-out/G6-insiders.csv)""}. See research/AUDIT-2.md and audit2-evidence/."
IF72,2026-09-12 20:50,Talia Goldberg (@TaliaGold),Bessemer Venture Partners partner,X post,"Asks who pays for embedded evaluators: must not be ""indirectly funded by the labs or those enriched by their growth""",no,The embedded evaluator concept is interesting. But who foots the bill? Must be independent and not indirectly funded by the labs or those enriched by their growth.,2641,https://x.com/TaliaGold/status/2098876885027758511,"Grok lane lead; audit-2 source re-fetched via fxtwitter 2026-09-14T07:13:05.295571+00:00; research/audit2-evidence/fx-2098876885027758511.json. Views retain the earlier snapshot, with new views recorded separately in post-comparison.csv. Earlier 00:23/01:40 UTC fetch labels are not reliable UTC provenance.","reply layer | audit-2 2026-09-14: was {""source_note"": ""fxtwitter refetch 2026-09-14 05:23 UTC (research/fx-lane6/fx_<id>.json); located by Grok G6 lane (research/grok-out/G6-insiders.csv)""}. See research/AUDIT-2.md and audit2-evidence/."
IF73,2026-09-12 22:13,Drake Thomas (@MaskedTorah),Anthropic staff,X post (reply to Goldberg),"Says funding third-party evaluators is a good use of philanthropy because it is ""one of the few areas that the incoming influx of lab donors can't help with""; links METR's Aug 14 funding update",yes,I think funding third-party evaluation orgs is a great use of philanthropic money because it's one of the few areas that the incoming influx of lab donors can't help with. You can see notes on METR's funders here,295,https://x.com/MaskedTorah/status/2098897798104277332,"Grok lane lead; audit-2 source re-fetched via fxtwitter 2026-09-14T07:13:05.634791+00:00; research/audit2-evidence/fx-2098897798104277332.json. Views retain the earlier snapshot, with new views recorded separately in post-comparison.csv. Earlier 00:23/01:40 UTC fetch labels are not reliable UTC provenance.","reply layer | audit-2 2026-09-14: was {""source_note"": ""fxtwitter refetch 2026-09-14 05:23 UTC (research/fx-lane6/fx_<id>.json); located by Grok G6 lane (research/grok-out/G6-insiders.csv)""}. See research/AUDIT-2.md and audit2-evidence/."
IF74,2026-09-12 23:40,Alexander Barry (@AlexBarry4),Epoch AI; METR Research Collaborator (N58),X post (reply to Khlaaf),"Asks in what sense METR is financially tied; ""METR does not take any funding from AI labs or from their employees""",yes,In what sense do you think they are financially tied? METR does not take any funding from AI labs or from their employees: https://metr.org/about#funding,452,https://x.com/AlexBarry4/status/2098919811967291901,"Grok lane lead; audit-2 source re-fetched via fxtwitter 2026-09-14T07:13:05.998125+00:00; research/audit2-evidence/fx-2098919811967291901.json. Views retain the earlier snapshot, with new views recorded separately in post-comparison.csv. Earlier 00:23/01:40 UTC fetch labels are not reliable UTC provenance.","reply layer | audit-2 2026-09-14: was {""source_note"": ""fxtwitter refetch 2026-09-14 05:23 UTC (research/fx-lane6/fx_<id>.json); located by Grok G6 lane (research/grok-out/G6-insiders.csv)""}. See research/AUDIT-2.md and audit2-evidence/."
IF75,2026-09-13 01:08,Yafah Edelman (@YafahEdelman),Epoch AI chief strategy officer,X post,"On Graham's offer: ""pretty bad for a senior anthropic employee to be involved in early funding/advising for an 'independent' auditing org""",no,"Seems pretty bad for a senior anthropic employee to be involved in early funding/advising for an ""independent"" auditing org.",13478,https://x.com/YafahEdelman/status/2098941757518209370,"Grok lane lead; audit-2 source re-fetched via fxtwitter 2026-09-14T07:13:06.436390+00:00; research/audit2-evidence/fx-2098941757518209370.json. Views retain the earlier snapshot, with new views recorded separately in post-comparison.csv. Earlier 00:23/01:40 UTC fetch labels are not reliable UTC provenance.","reply layer; quote-context is IF69 | audit-2 2026-09-14: was {""source_note"": ""fxtwitter refetch 2026-09-14 05:23 UTC (research/fx-lane6/fx_<id>.json); located by Grok G6 lane (research/grok-out/G6-insiders.csv)""}. See research/AUDIT-2.md and audit2-evidence/."
IF76,2026-09-13 01:52,Logan Graham (@logangraham),"Anthropic, head of the Frontier Red Team",X post (reply to Edelman),"Concedes the point: ""something I'm sensitive to""; would ""bootstrap and pass off""",no,"Yeah, something I'm sensitive to — if I can help bootstrap and pass off, cool. Even better if I'm totally useless in the process",1275,https://x.com/logangraham/status/2098952970356330943,"Grok lane lead; audit-2 source re-fetched via fxtwitter 2026-09-14T07:13:06.882919+00:00; research/audit2-evidence/fx-2098952970356330943.json. Views retain the earlier snapshot, with new views recorded separately in post-comparison.csv. Earlier 00:23/01:40 UTC fetch labels are not reliable UTC provenance.","reply layer | audit-2 2026-09-14: was {""source_note"": ""fxtwitter refetch 2026-09-14 05:23 UTC (research/fx-lane6/fx_<id>.json); located by Grok G6 lane (research/grok-out/G6-insiders.csv)""}. See research/AUDIT-2.md and audit2-evidence/."
IF77,2026-09-13 05:49,Greg Linares (@Laughing_Mantis),"security researcher, 25 years",X post,"Calls the suggestion that METR be treated as an authority ""dangerous, deceptive, and morally corrupt""",yes,"The narrative being pushed around AI safety, sandbox incidents, and the suggestion that METR be treated as an authority is dangerous, deceptive, and morally corrupt.",354572,https://x.com/Laughing_Mantis/status/2099012495834743090,"Grok lane lead; audit-2 source re-fetched via fxtwitter 2026-09-14T07:13:07.262796+00:00; research/audit2-evidence/fx-2099012495834743090.json. Views retain the earlier snapshot, with new views recorded separately in post-comparison.csv. Earlier 00:23/01:40 UTC fetch labels are not reliable UTC provenance.","reply layer; largest anti-METR post located outside the Sacks thread | audit-2 2026-09-14: was {""source_note"": ""fxtwitter refetch 2026-09-14 05:23 UTC (research/fx-lane6/fx_<id>.json); located by Grok G6 lane (research/grok-out/G6-insiders.csv)""}. See research/AUDIT-2.md and audit2-evidence/."
IF78,2026-09-13 06:03,Susan Zhang (@suchenzang),ex-Meta AI (personal site: https://suchenzang.github.io/; not stated in X bio),X post,"Puts near-zero odds on labs agreeing a single evaluator that is competent, ""not financially tied to an existing lab"", and willing to speak up",no,"i place near zero probability that the labs will agree on a single ""third-party safety evaluator"" who is: 1) competent enough ... 2) is not financially tied to an existing lab 3) will actually have the backbone to speak up",42952,https://x.com/suchenzang/status/2099016188764242259,"Grok lane lead; audit-2 source re-fetched via fxtwitter 2026-09-14T07:13:07.742938+00:00; research/audit2-evidence/fx-2099016188764242259.json. Views retain the earlier snapshot, with new views recorded separately in post-comparison.csv. Earlier 00:23/01:40 UTC fetch labels are not reliable UTC provenance.","reply layer | audit-2 2026-09-14: was {""source_note"": ""fxtwitter refetch 2026-09-14 05:23 UTC (research/fx-lane6/fx_<id>.json); located by Grok G6 lane (research/grok-out/G6-insiders.csv)"", ""role"": ""ex-Meta AI""}. See research/AUDIT-2.md and audit2-evidence/."
IF79,2026-09-13 09:11,Robert Graham (@robertgraham),"security researcher (masscan, BlackICE)",X post,"""METR is corrupt and not the solution""",yes,"Whatever doomerist fears people might have, METR is corrupt and not the solution.",7134,https://x.com/robertgraham/status/2099063357491855755,"Grok lane lead; audit-2 source re-fetched via fxtwitter 2026-09-14T07:13:08.188675+00:00; research/audit2-evidence/fx-2099063357491855755.json. Views retain the earlier snapshot, with new views recorded separately in post-comparison.csv. Earlier 00:23/01:40 UTC fetch labels are not reliable UTC provenance.","reply layer | audit-2 2026-09-14: was {""source_note"": ""fxtwitter refetch 2026-09-14 05:23 UTC (research/fx-lane6/fx_<id>.json); located by Grok G6 lane (research/grok-out/G6-insiders.csv)""}. See research/AUDIT-2.md and audit2-evidence/."
IF80,2026-09-13 14:30,Alexander Barry (@AlexBarry4),Epoch AI; METR Research Collaborator (N58),X post (reply to R. Graham),"Asks Graham what he means by corrupt; discloses ""I have done work for METR in the past, and am currently a 'Research Collaborator'""",yes,"In what sense do you think METR is corrupt? (for disclosure, I have done work for METR in the past, and am currently a ""Research Collaborator"")",83,https://x.com/AlexBarry4/status/2099143711066095788,"Grok lane lead; audit-2 source re-fetched via fxtwitter 2026-09-14T07:13:08.879058+00:00; research/audit2-evidence/fx-2099143711066095788.json. Views retain the earlier snapshot, with new views recorded separately in post-comparison.csv. Earlier 00:23/01:40 UTC fetch labels are not reliable UTC provenance.","reply layer; the only disclosure in Barry's ten located posts | audit-2 2026-09-14: was {""source_note"": ""fxtwitter refetch 2026-09-14 05:23 UTC (research/fx-lane6/fx_<id>.json); located by Grok G6 lane (research/grok-out/G6-insiders.csv)""}. See research/AUDIT-2.md and audit2-evidence/."
IF81,2026-09-13 15:35,SE Gyges (@segyges),commentator/anon,X post,"""did not see anyone even try to pretend that METR is actually independent""",yes,i have been unhappy with takes from the last 24h generally but i do appreciate that i did not see anyone even try to pretend that METR is actually independent,5503,https://x.com/segyges/status/2099159920713367692,"Grok lane lead; audit-2 source re-fetched via fxtwitter 2026-09-14T07:13:09.491725+00:00; research/audit2-evidence/fx-2099159920713367692.json. Views retain the earlier snapshot, with new views recorded separately in post-comparison.csv. Earlier 00:23/01:40 UTC fetch labels are not reliable UTC provenance.","reply layer; root of the segyges/Laneless/Barry/Piper thread | audit-2 2026-09-14: was {""source_note"": ""fxtwitter refetch 2026-09-14 05:23 UTC (research/fx-lane6/fx_<id>.json); located by Grok G6 lane (research/grok-out/G6-insiders.csv)""}. See research/AUDIT-2.md and audit2-evidence/."
IF82,2026-09-13 16:06,Jai (@Laneless_),"separatrixAI; says ""having worked with them very closely""",X post (reply to Gyges),"""METR is pretty independent of the labs ... they take independence extremely seriously on a day to day operational level""",yes,"METR is pretty independent of the labs. Having worked with them very closely, they take independence extremely seriously on a day to day operational level.",759,https://x.com/Laneless_/status/2099167959289909731,"Grok lane lead; audit-2 source re-fetched via fxtwitter 2026-09-14T07:13:09.974972+00:00; research/audit2-evidence/fx-2099167959289909731.json. Views retain the earlier snapshot, with new views recorded separately in post-comparison.csv. Earlier 00:23/01:40 UTC fetch labels are not reliable UTC provenance.","reply layer | audit-2 2026-09-14: was {""source_note"": ""fxtwitter refetch 2026-09-14 05:23 UTC (research/fx-lane6/fx_<id>.json); located by Grok G6 lane (research/grok-out/G6-insiders.csv)""}. See research/AUDIT-2.md and audit2-evidence/."
IF83,2026-09-13 17:28,SE Gyges (@segyges),commentator/anon,X post (reply),"Claims METR's senior staff are ""~all old friends of Anthropic's senior staff"" and that Coefficient ""pays their bills""; compares to accounting fraud",yes,"their entire senior staff are ~all old friends of Anthropic's senior staff and Coefficient, itself closely tied to Anthropic, pays their bills? a if you tried to sell an ""independent audit"" with these traits for an accounting firm you would go to prison for fraud",433,https://x.com/segyges/status/2099188431129878815,"Grok lane lead; audit-2 source re-fetched via fxtwitter 2026-09-14T07:13:10.417032+00:00; research/audit2-evidence/fx-2099188431129878815.json. Views retain the earlier snapshot, with new views recorded separately in post-comparison.csv. Earlier 00:23/01:40 UTC fetch labels are not reliable UTC provenance.","reply layer; the claim the ledger does not support (M33, M105, M124) | audit-2 2026-09-14: was {""source_note"": ""fxtwitter refetch 2026-09-14 05:23 UTC (research/fx-lane6/fx_<id>.json); located by Grok G6 lane (research/grok-out/G6-insiders.csv)""}. See research/AUDIT-2.md and audit2-evidence/."
IF84,2026-09-13 18:36,Jai (@Laneless_),separatrixAI,X post (reply),"Says RAND's reported grants and contractor spend show no METR, and that Audacious plus other funders provide ~all of METR's funding",yes,"I've had AI go over all the CG, RAND, and METR records and statements available, and this still doesn't check out. RAND reports their grants and contractor spends - no METR. Audacious + other funders seem to provide ~all of METR's funding.",130,https://x.com/Laneless_/status/2099205548306743384,"Grok lane lead; audit-2 source re-fetched via fxtwitter 2026-09-14T07:13:10.804719+00:00; research/audit2-evidence/fx-2099205548306743384.json. Views retain the earlier snapshot, with new views recorded separately in post-comparison.csv. Earlier 00:23/01:40 UTC fetch labels are not reliable UTC provenance.","reply layer; RAND claim checked in M124 | audit-2 2026-09-14: was {""source_note"": ""fxtwitter refetch 2026-09-14 05:23 UTC (research/fx-lane6/fx_<id>.json); located by Grok G6 lane (research/grok-out/G6-insiders.csv)""}. See research/AUDIT-2.md and audit2-evidence/."
IF85,2026-09-13 19:01,Alexander Barry (@AlexBarry4),Epoch AI; METR Research Collaborator (N58),X post (reply to Gyges),"""It is not true that Coefficient Giving funds METR, METR has never accepted any funding from them (or when they were known as open philanthropy)""",yes,"It is not true that Coefficient Giving funds METR, METR has never accepted any funding from them (or when they were known as open philanthropy). You can see info about METRs funders here: https://metr.org/about#funding",499,https://x.com/AlexBarry4/status/2099211957798666483,"Grok lane lead; audit-2 source re-fetched via fxtwitter 2026-09-14T07:13:11.391222+00:00; research/audit2-evidence/fx-2099211957798666483.json. Views retain the earlier snapshot, with new views recorded separately in post-comparison.csv. Earlier 00:23/01:40 UTC fetch labels are not reliable UTC provenance.","reply layer | audit-2 2026-09-14: was {""source_note"": ""fxtwitter refetch 2026-09-14 05:23 UTC (research/fx-lane6/fx_<id>.json); located by Grok G6 lane (research/grok-out/G6-insiders.csv)""}. See research/AUDIT-2.md and audit2-evidence/."
IF86,2026-09-13 19:05,Jai (@Laneless_),separatrixAI,X post,"Summarises the dispute: Gyges's case rests on unspecified personal entanglements and ""a $10m grant CG issued to RAND for a collaboration with METR""",yes,I don't think Gyges' METR claims here check out. In the subsequent thread he says METR is not independent because of (1) nonspecfic personal entanglements between METR/CG/Anthropic and (2) a $10m grant CG issued to RAND for a collaboration with METR.,3860,https://x.com/Laneless_/status/2099212819426398323,"Grok lane lead; audit-2 source re-fetched via fxtwitter 2026-09-14T07:13:11.912650+00:00; research/audit2-evidence/fx-2099212819426398323.json. Views retain the earlier snapshot, with new views recorded separately in post-comparison.csv. Earlier 00:23/01:40 UTC fetch labels are not reliable UTC provenance.","reply layer | audit-2 2026-09-14: was {""source_note"": ""fxtwitter refetch 2026-09-14 05:23 UTC (research/fx-lane6/fx_<id>.json); located by Grok G6 lane (research/grok-out/G6-insiders.csv)""}. See research/AUDIT-2.md and audit2-evidence/."
IF87,2026-09-13 19:35,Charles (@CharlesD353),Arb Research; ex-quant trader,X post (reply to Gyges),"States the ledger numbers: Coefficient $10M to a $38M RAND/METR collaboration of which METR got $17M; METR raised $71M in six months; ""mostly funded by a handful of very rich EAs at Jane Street""",yes,Even if we accept for the moment that CG giving $10m to a $38m RAND/METR collaboration (of which METR got $17m) is the same as CG giving $10m to METR ... $10m isn't most of their funding! They received $71m in the last 6 months alone! ... METR is mostly funded by a handful of very rich EAs at Jane Street and a mix of other foundations AFAIK.,15,https://x.com/CharlesD353/status/2099220454854865099,"Grok lane lead; audit-2 source re-fetched via fxtwitter 2026-09-14T07:13:12.356457+00:00; research/audit2-evidence/fx-2099220454854865099.json. Views retain the earlier snapshot, with new views recorded separately in post-comparison.csv. Earlier 00:23/01:40 UTC fetch labels are not reliable UTC provenance.","reply layer; numbers match M57, M58, M03, G03; Jane Street share not public (M75) | audit-2 2026-09-14: was {""source_note"": ""fxtwitter refetch 2026-09-14 05:23 UTC (research/fx-lane6/fx_<id>.json); located by Grok G6 lane (research/grok-out/G6-insiders.csv)""}. See research/AUDIT-2.md and audit2-evidence/."
IF88,2026-09-13 19:35,Alexander Barry (@AlexBarry4),Epoch AI; METR Research Collaborator (N58),X post (reply to Gyges),"Says he has discussed with METR whether it should refuse free API credits from the labs; METR sees ""needing to maintain access with the labs"" as its main limitation",yes,E.g. one thing I have discussed with them is whether they should (in as far as possible) refuse to accept free API credits from the labs. I believe METR see the main limitation to their independence currently as needing to maintain access with the labs,47,https://x.com/AlexBarry4/status/2099220519430312264,"Grok lane lead; audit-2 source re-fetched via fxtwitter 2026-09-14T07:13:12.695737+00:00; research/audit2-evidence/fx-2099220519430312264.json. Views retain the earlier snapshot, with new views recorded separately in post-comparison.csv. Earlier 00:23/01:40 UTC fetch labels are not reliable UTC provenance.","reply layer; credits are K01/K04 | audit-2 2026-09-14: was {""source_note"": ""fxtwitter refetch 2026-09-14 05:23 UTC (research/fx-lane6/fx_<id>.json); located by Grok G6 lane (research/grok-out/G6-insiders.csv)""}. See research/AUDIT-2.md and audit2-evidence/."
IF89,2026-09-13 21:40,Drake Thomas (@MaskedTorah),Anthropic staff,X post (reply to corsaren),"""all the third party evaluators should not be financially supported by the labs""; worries many METRs let a lab ""pick and choose the friendliest one""",yes,"I think all the third party evaluators should not be financially supported by the labs, but I'm still worried about ""more METRs"" for another reason - if there are many alternatives a lab can pick and choose the friendliest one to use, and there's a sycophantic race to the bottom",997,https://x.com/MaskedTorah/status/2099251978127954064,"Grok lane lead; audit-2 source re-fetched via fxtwitter 2026-09-14T07:13:13.060644+00:00; research/audit2-evidence/fx-2099251978127954064.json. Views retain the earlier snapshot, with new views recorded separately in post-comparison.csv. Earlier 00:23/01:40 UTC fetch labels are not reliable UTC provenance.","reply layer; IF62 is the next post in this thread | audit-2 2026-09-14: was {""source_note"": ""fxtwitter refetch 2026-09-14 05:23 UTC (research/fx-lane6/fx_<id>.json); located by Grok G6 lane (research/grok-out/G6-insiders.csv)""}. See research/AUDIT-2.md and audit2-evidence/."
IF90,2026-09-13 23:03,Kei Nishimura-Gasparian (@kei_ng1),"METR technical staff (listed on metr.org/about, N58)",X post (reply),"""METR doesn't take any money from Coefficient Giving""; points to the donor list on metr.org/about",yes,METR doesn't take any money from Coefficient Giving. You can find a list of donors here: https://metr.org/about,9,https://x.com/kei_ng1/status/2099272878143533103,"Grok lane lead; audit-2 source re-fetched via fxtwitter 2026-09-14T07:13:13.504232+00:00; research/audit2-evidence/fx-2099272878143533103.json. Views retain the earlier snapshot, with new views recorded separately in post-comparison.csv. Earlier 00:23/01:40 UTC fetch labels are not reliable UTC provenance.","reply layer; only METR-staff post on the funding question located besides IF64 | audit-2 2026-09-14: was {""source_note"": ""fxtwitter refetch 2026-09-14 05:23 UTC (research/fx-lane6/fx_<id>.json); located by Grok G6 lane (research/grok-out/G6-insiders.csv)""}. See research/AUDIT-2.md and audit2-evidence/."
IF91,2026-09-14 02:48,Emil Ryd (@emilaryd),Anthropic AI safety research,X post (reply to Thomas),"Says the public cannot adjudicate between evaluators; ""even a single evaluator could become sycophantic/bad/pressured""",no,"Isn't the main underlying problem here that it's hard for the public to adjudicate between different evaluators? Like, even a single evaluator could become sycophantic/bad/pressured, and the public would currently have a hard time figuring out if that's the case.",29,https://x.com/emilaryd/status/2099329386218700991,"Grok lane lead; audit-2 source re-fetched via fxtwitter 2026-09-14T07:13:14.193372+00:00; research/audit2-evidence/fx-2099329386218700991.json. Views retain the earlier snapshot, with new views recorded separately in post-comparison.csv. Earlier 00:23/01:40 UTC fetch labels are not reliable UTC provenance.","reply layer | audit-2 2026-09-14: was {""source_note"": ""fxtwitter refetch 2026-09-14 05:23 UTC (research/fx-lane6/fx_<id>.json); located by Grok G6 lane (research/grok-out/G6-insiders.csv)""}. See research/AUDIT-2.md and audit2-evidence/."
IF92,2026-09-12 20:45,Logan Graham (@logangraham),"Anthropic, head of the Frontier Red Team",X post (reply),"Points founders to Mike McCormick: ""person #1 I think of when I think of who founders should talk to if they want to start something here""",no,^ Mike is person #1 I think of when I think of who founders should talk to if they want to start something here.,2970,https://x.com/logangraham/status/2098875745032454518,"Grok lane lead; audit-2 source re-fetched via fxtwitter 2026-09-14T07:13:14.619111+00:00; research/audit2-evidence/fx-2098875745032454518.json. Views retain the earlier snapshot, with new views recorded separately in post-comparison.csv. Earlier 00:23/01:40 UTC fetch labels are not reliable UTC provenance.","reply layer; founder-call chain step 2 | audit-2 2026-09-14: was {""source_note"": ""fxtwitter refetch 2026-09-14 06:40 UTC (research/fx-lane9/fx_<id>.json); located by Grok G9 lane (research/grok-out/G9-thousand-metrs.csv)""}. See research/AUDIT-2.md and audit2-evidence/."
IF93,2026-09-12 20:46,Mike McCormick (@MikeMcCormick_),"Halcyon Futures founder and CEO (incubator; grants up to $1M, M125)",X post,"""I'd love to fund / launch more eval and audit orgs (and companies)""",no,I'd love to fund / launch more eval and audit orgs (and companies),23652,https://x.com/MikeMcCormick_/status/2098875802825957747,"Grok lane lead; audit-2 source re-fetched via fxtwitter 2026-09-14T07:13:15.204906+00:00; research/audit2-evidence/fx-2098875802825957747.json. Views retain the earlier snapshot, with new views recorded separately in post-comparison.csv. Earlier 00:23/01:40 UTC fetch labels are not reliable UTC provenance.","reply layer; founder-call chain step 3 | audit-2 2026-09-14: was {""source_note"": ""fxtwitter refetch 2026-09-14 06:40 UTC (research/fx-lane9/fx_<id>.json); located by Grok G9 lane (research/grok-out/G9-thousand-metrs.csv)""}. See research/AUDIT-2.md and audit2-evidence/."
IF94,2026-09-12 20:44,Mike McCormick (@MikeMcCormick_),Halcyon Futures,X post (reply to Graham),"""Would gladly support these! Logan lmk if anything cool comes to you here""",no,@logangraham Would gladly support these! Logan lmk if anything cool comes to you here,2415,https://x.com/MikeMcCormick_/status/2098875527281143813,"Grok lane lead; audit-2 source re-fetched via fxtwitter 2026-09-14T07:13:15.798926+00:00; research/audit2-evidence/fx-2098875527281143813.json. Views retain the earlier snapshot, with new views recorded separately in post-comparison.csv. Earlier 00:23/01:40 UTC fetch labels are not reliable UTC provenance.","reply layer | audit-2 2026-09-14: was {""source_note"": ""fxtwitter refetch 2026-09-14 06:40 UTC (research/fx-lane9/fx_<id>.json); located by Grok G9 lane (research/grok-out/G9-thousand-metrs.csv)""}. See research/AUDIT-2.md and audit2-evidence/."
IF95,2026-09-12 20:56,Mike McCormick (@MikeMcCormick_),Halcyon Futures,X post (reply to Graham),"Offers to write the founder guide Graham asked for: ""We should make one. I'll take a crack at it and add you. Should it be more third party eval/audit specific (a thousand METRs) or broader?""",yes,"@logangraham I don’t have anything exactly like that. We should make one. I’ll take a crack at it and add you

Should it be more third party eval/audit specific (a thousand METRs) or broader?",291,https://x.com/MikeMcCormick_/status/2098878320712843734,"Grok lane lead; audit-2 source re-fetched via fxtwitter 2026-09-14T07:13:16.352199+00:00; research/audit2-evidence/fx-2098878320712843734.json. Views retain the earlier snapshot, with new views recorded separately in post-comparison.csv. Earlier 00:23/01:40 UTC fetch labels are not reliable UTC provenance.","reply layer | audit-2 2026-09-14: was {""source_note"": ""fxtwitter refetch 2026-09-14 06:40 UTC (research/fx-lane9/fx_<id>.json); located by Grok G9 lane (research/grok-out/G9-thousand-metrs.csv)"", ""metr_language"": ""I don't have anything exactly like that. We should make one. I'll take a crack at it and add you. Should it be more third party eval/audit specific (a thousand METRs) or broader?""}. See research/AUDIT-2.md and audit2-evidence/."
