row_id,source_csv,verdict,detail,evidence_or_manual_route
M100,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M101,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M102,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M103,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M104,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M105,research/money_flows.csv,UNVERIFIABLE,"The cited URL is one return and the retained coefficient-990 directory contains five returns, not the seven-return search claimed by the row.","Retrieve and hash all seven named TY2022–TY2024 XMLs, then repeat the bounded recipient search."
M106,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M107,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M108,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M109,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M110,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M111,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M112,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M113,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M114,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M115,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M116,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M117,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M118,research/money_flows.csv,DIFFERS,"Measure changed from 990 Schedule I to 990-PF Part XV, and the false unread-attachment qualification was removed. The final row reports the four readable grant-group counts and no named Canary grant.","The retained four TED XML returns; TY2024 has two paid grants totaling $100,253."
M119,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M120,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M121,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M122,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M123,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M124,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M125,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M126,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M127,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M128,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M129,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M130,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M131,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M132,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M133,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M134,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M135,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M136,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M137,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M138,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M139,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M140,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M141,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M142,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M143,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M144,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M145,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M146,research/money_flows.csv,DIFFERS,The first two RAND funding-category descriptions were not verbatim. The final row now preserves RAND's three separate categories and all names.,"RAND CAST funding page, freshly fetched."
M147,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M148,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M149,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M150,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
RW31,research/redwood.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
RW32,research/redwood.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
RW33,research/redwood.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
RW34,research/redwood.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
RW35,research/redwood.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
S13,research/staff_origins.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
ST26,research/stakes.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
ST32,research/stakes.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
ST33,research/stakes.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
ST41,research/stakes.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
ST49,research/stakes.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
ST54,research/stakes.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
ST78,research/stakes.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
ST79,research/stakes.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
ST89,research/stakes.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
ST90,research/stakes.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
ST91,research/stakes.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
ST92,research/stakes.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
ST93,research/stakes.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
ST94,research/stakes.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
ST95,research/stakes.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
ST96,research/stakes.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
ST97,research/stakes.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
ST98,research/stakes.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
ST99,research/stakes.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
ST100,research/stakes.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
ST101,research/stakes.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
ST102,research/stakes.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
ST103,research/stakes.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
ST104,research/stakes.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
ST105,research/stakes.csv,DIFFERS,The prior row inferred that named SVCF/NPT accounts belonged to Moskovitz and Tuna. The page only calls SVCF/NPT/GVF external funding partners; it does not identify account principals.,"Coefficient grantmaking-process page: recommendations go to its entity or an external partner, which separately approves."
ST106,research/stakes.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
ST107,research/stakes.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
ST108,research/stakes.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
ST109,research/stakes.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
ST110,research/stakes.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
ST111,research/stakes.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
ST112,research/stakes.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
ST113,research/stakes.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
ST114,research/stakes.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
ST115,research/stakes.csv,UNVERIFIABLE,"The IRS landing page was fetched, but the 98,802-row SOI split-interest-trust file and the claimed negative search were not retained in this audit evidence.","Download the dated SOI file, hash it, and rerun the four-term bounded search."
ST116,research/stakes.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
ST117,research/stakes.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
ST118,research/stakes.csv,DIFFERS,The prior note said Moskovitz chairs Coefficient. The final row says he is a Board of Managers member and Cari Tuna is chair.,"Coefficient governance page, ST124."
ST121,research/stakes.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
ST124,research/stakes.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
ST125,research/stakes.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
ST127,research/stakes.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
ST133,research/stakes.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
TB02,research/tarbell_funding.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
TB03,research/tarbell_funding.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
TB04,research/tarbell_funding.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
TB05,research/tarbell_funding.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
TB06,research/tarbell_funding.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
TO01,research/tarbell_outlets.csv,DIFFERS,The old note treated the count as uniformly publisher-tagged. The final row says 42 keyword-fallback and 3 tag-page classifications in a partial source window.,Tarbell bylines outlet_windows and article inventory recount.
TO02,research/tarbell_outlets.csv,DIFFERS,The old generic note omitted method/scope. The final row says 37 unique fellow-byline URLs in a partial publisher-tag window.,Tarbell bylines outlet_windows and article inventory recount.
TO03,research/tarbell_outlets.csv,DIFFERS,The old generic note omitted method/scope. The final row says 22 tag-page and 4 keyword-fallback classifications in a complete trailing-year article window.,Tarbell bylines outlet_windows and article inventory recount.
TO04,research/tarbell_outlets.csv,DIFFERS,The old generic note omitted that all 22 are keyword-fallback classifications in a partial Common Crawl/Wayback sample.,Tarbell bylines outlet_windows and article inventory recount.
TO05,research/tarbell_outlets.csv,DIFFERS,The old generic note omitted method/scope. The final row says 20 unique fellow-byline URLs in a partial publisher-tag window.,Tarbell bylines outlet_windows and article inventory recount.
TO06,research/tarbell_outlets.csv,DIFFERS,The old generic note omitted method/scope. The final row says 14 unique fellow-byline URLs in a partial publisher-tag window.,Tarbell bylines outlet_windows and article inventory recount.
