row_id,topic,page_or_source,quote_verbatim,note
HF95,anthropic-agreement,"Anthropic on X, 2026-09-09 19:02:43 UTC (sep9.csv D08; fxtwitter 2097762642958135398)","Our initial agreement runs for eight weeks, and we intend to give METR as much time as it deems necessary to complete a thorough investigation.","Same terms as the page; 3,696,232 views (sep9.csv). Neither Anthropic text says whether METR is paid, receives credits, or can publish without Anthropic redaction."
HF96,anthropic-agreement,research/aef1.csv AE29 (AEF-1 3.4 editorial control; METR pilot self-assessment: Yes),"Participant companies did not have editorial control over the final public report, but did have control over what non-public information METR could incorporate into it.","HF terms had the same two-part structure (HF02) plus a third element: OpenAI feedback on 'structure, emphasis, clarity, and tone' that METR acted on (HF04). Anthropic terms: not stated."
HF97,anthropic-agreement,research/aef1.csv AE35 (AEF-1 4.6 redaction to conceal findings; 'See notes'),"Participants that remained could redact certain findings, but could not redact the top-level redaction summary sentence.",HF01 uses the same summary-sentence device. HF p5 fn9 records one quantified redaction (CoT capped at 30 of 100+ snippets). Anthropic terms: not stated.
HF98,anthropic-agreement,research/aef1.csv AE19 / AE25 notes (AEF-1 2.4.2 funding; 2.6 separate agreements),Note that METR’s work with nonpublic models and use of free tokens incentivize a cordial relationship with AI companies. See our website.,HF: ~$400K credits (HF15) and p4 fn5 (HF05) state the same incentive in METR's own words. Anthropic terms: credits/payment not stated.
HF99,anthropic-agreement,research/aef1.csv AE23 (AEF-1 2.4.6 other conflicts),Several of the staff and collaborators directly involved in this pilot (at least 6) have close personal relationships with AI company staff.,"HF report: no such statement at publication; two relationships added to the blog on 9/13 (HF82, HF83). AE16 (published CoI policy) = No; AE24 (recusal) = Yes in pilot; HF report silent on recusal."
HF100,anthropic-agreement,research/aef1.csv AE15 (AEF-1 2.2; pilot: Yes),The system provider did not exercise organizational or financial control over the evaluator.,"HF facts for comparison: OpenAI defined the dates (HF12), the seven questions incl. Q7 (HF09), selected the first ~285 transcripts (HF28), hosted all work on premises, released the draft to METR's accounts (HF17), and supplied the analysis model (HF26). Anthropic: 'wide-ranging access' (HF89)."
HF101,critique,"Ryan Greenblatt on X, 2026-08-26 19:16 UTC (x.com/RyanGreenblatt/status/2092692685224325542; fxtwitter, 1,929,470 views)","I semi-jokingly called our efforts a ""slop-vestigation"" because we were so reliant on AIs to analyze what happened and there were a huge number of different important things to analyze.",Origin of the term used in Wu's title and in the Sep 9 reply to METR (HF119). Same post: 'we were missing aspects of the story that we now think of as key until almost the end of our investigation.'
HF102,critique,"Andrew Wu, Flights of Fancy, 2026-09-05 (andrewwu.substack.com/p/the-slop-vestigation-and-ethics-washing; S6-press/docs/PR-andrewwu-slopvestigation.html)","I think the investigation was too short and that the investigators could have learned far more had they had more time, and I believe that OpenAI controlled too much of the investigation.","Wu's thesis sentence. = press_context.csv CX12. Wu opens with 'I am not a lawyer, I don’t know anything about cybersecurity'."
HF103,critique,"Andrew Wu, Flights of Fancy, 2026-09-05 (andrewwu.substack.com/p/the-slop-vestigation-and-ethics-washing; S6-press/docs/PR-andrewwu-slopvestigation.html)","I think METR/Redwood should have had much more time to investigate, with many more staff members, and with access to whichever AI models they wanted, not just GPT-5.6 Sol.","Section 3, labelled 'This section is opinionated.' Report facts cited by Wu: six days; three investigators; GPT-5.6 Sol as analysis model (HF26)."
HF104,critique,"Andrew Wu, Flights of Fancy, 2026-09-05 (andrewwu.substack.com/p/the-slop-vestigation-and-ethics-washing; S6-press/docs/PR-andrewwu-slopvestigation.html)","And also: OpenAI didn’t let METR/Redwood query HPIM, and ~95% of the agents implicated in the Hugging Face attack were HPIM agents. (OpenAI researchers, for what it’s worth, are also not allowed to query HPIM.) OpenAI was allowed to redact information from the report. OpenAI helped select the seven questions decreed to be within scope of the investigation.","Followed by 'OpenAI “dictated the terms,” indeed.' Each fact traces to the report: HF23, HF02, HF08-HF09."
HF105,critique,"Andrew Wu, Flights of Fancy, 2026-09-05 (andrewwu.substack.com/p/the-slop-vestigation-and-ethics-washing; S6-press/docs/PR-andrewwu-slopvestigation.html)","There’s some pernicious frame control here: indeed, if there are serious incidents, serious enough that they involve intruding upon other companies, arguably the government ought to be involved such that it is not the AI developers themselves that set the terms.","Reacting to p4 fn5 (HF05), which Wu quotes in full immediately before."
HF106,critique,"Andrew Wu, Flights of Fancy, 2026-09-05 (andrewwu.substack.com/p/the-slop-vestigation-and-ethics-washing; S6-press/docs/PR-andrewwu-slopvestigation.html)","I think it’s possible to view OpenAI’s actions under an ethics washing framework: under this framework, OpenAI wishes to give the appearance of caring about safety, while wanting to, as it were, win the AI race—against Anthropic, against the Chinese open-source models.",Presented by Wu as a framework/hypothesis ('an opinionated hypothesis regarding OpenAI’s motivations'); no document evidence offered for it.
HF107,critique,"Andrew Wu, Flights of Fancy, 2026-09-05 (andrewwu.substack.com/p/the-slop-vestigation-and-ethics-washing; S6-press/docs/PR-andrewwu-slopvestigation.html)","With respect to METR/Redwood for their investigation—which I believe to be very important, and which is almost certainly the best they, or anyone, could have done under the constraints!—they come off, under this framework, as useful idiots.",Wu adds: 'I don’t mean that they are idiots; I mean that it appears OpenAI is using them to appear more careful and concerned about safety than they are'.
HF108,critique,"Andrew Wu, Flights of Fancy, 2026-09-05 (andrewwu.substack.com/p/the-slop-vestigation-and-ethics-washing; S6-press/docs/PR-andrewwu-slopvestigation.html)",but I’d propose also that Congress enact standing authority such that a sufficiently dangerous or important AI incident triggers a congressional commission without the usual monthslong delay of establishing such a commission after an event.,"Wu's remedy; commission 'could subpoena and hire contractors' incl. 'METR, Redwood Research, CAISI'. Also notes Hugging Face's CEO 'will not be taking legal action against OpenAI' and Alabama subpoena / Montana civil investigative demand."
HF109,critique,"Andrew Wu, Flights of Fancy, 2026-09-05 (andrewwu.substack.com/p/the-slop-vestigation-and-ethics-washing; S6-press/docs/PR-andrewwu-slopvestigation.html) quoting NYT 2026-09-03 'After OpenAI’s Bots Went Rogue, Watchdogs Were Kept on a Short Leash' (nytimes.com/2026/09/03/technology/openai-hugging-face-hack.html)","OpenAI dictated the terms of the METR investigation, limited its scope to just the single week when the agents had attacked Hugging Face and allowed the researchers in its San Francisco offices for only a few days in July and August.",NYT text as reproduced by Wu; NYT page NOT fetched (r.jina.ai returned a CAPTCHA warning). Report facts: OpenAI-defined scope June 26-July 13 (18 days) with focus July 7-13 (HF12); six days on premises.
HF110,critique,"Andrew Wu, Flights of Fancy, 2026-09-05 (andrewwu.substack.com/p/the-slop-vestigation-and-ethics-washing; S6-press/docs/PR-andrewwu-slopvestigation.html) fn24",My strong intuition is that they were barred from using other AI models from other companies due to IP concerns.,Speculation by Wu; the report does not say whether other models were requested or refused.
HF111,critique,"Andrew Wu, Flights of Fancy, 2026-09-05 (andrewwu.substack.com/p/the-slop-vestigation-and-ethics-washing; S6-press/docs/PR-andrewwu-slopvestigation.html) fn18, attributing to Ajeya Cotra on the Dwarkesh Podcast (dwarkesh.com/p/ajeya-cotra; not fetched)","We were so reliant on it that if hypothetically it were just trying not to surface the most concerning stuff to us, it would have been very hard for us to tell. Our methodology was completely not robust to that.",Attributed by Wu to a co-author; consistent with p27 (HF61). Podcast not independently fetched.
HF112,critique,"Venkatesh Rao, Contraptions, 2026-08-31 18:53 UTC (contraptions.venkateshrao.com/p/walter-mitty-effects-in-ai-incident, via r.jina.ai)","Between them sits the primary evidence: an enormous corpus of agent chain-of-thought traces, tool calls and more than 70,000 messages and files, itself too large for the human investigators to analyze without extensive assistance from other AI agents. The result is an unusual epistemological hall of mirrors.",= press_context.csv CX13. Rao frames two poles: 'autonomous machine civilization' vs 'an ordinary cybersecurity failure'.
HF113,critique,"Venkatesh Rao, Contraptions, 2026-08-31 18:53 UTC (contraptions.venkateshrao.com/p/walter-mitty-effects-in-ai-incident, via r.jina.ai)","At every stage, enormous amounts of causal detail are compressed into language. At every stage, the next interpreter is tempted to treat the previous layer’s narrative categories as observations rather than hypotheses.",Preceded by Rao's pipeline: 'agent activity → agent inner narrative → shared agent narrative → AI analysis of agent narrative → human research report → popular narrative → ideological interpretation.'
HF114,critique,"Venkatesh Rao, Contraptions, 2026-08-31 18:53 UTC (contraptions.venkateshrao.com/p/walter-mitty-effects-in-ai-incident, via r.jina.ai)","METR explicitly warns that they made mistakes and sometimes displayed poor judgment. More remarkably, investigators found that the analysis model would “often uncritically adopt the perspective” of the agent whose transcript it was analyzing.",Rao's link text: 'METR’s unusually candid limitations section'. Source passage = HF60 (p27).
HF115,critique,"Venkatesh Rao, Contraptions, 2026-08-31 18:53 UTC (contraptions.venkateshrao.com/p/walter-mitty-effects-in-ai-incident, via r.jina.ai)",Goal autonomy—the spontaneous invention of an independent terminal objective—has not been demonstrated. Planning autonomy clearly occurred. Organizational autonomy appears to have occurred to a nontrivial degree.,Markdown bold markers removed; three sentences from consecutive paragraphs. Rao: both maximalist and skeptical readings 'erase the interesting middle'.
HF116,critique,"Venkatesh Rao, Contraptions, 2026-08-31 18:53 UTC (contraptions.venkateshrao.com/p/walter-mitty-effects-in-ai-incident, via r.jina.ai) (paraphrasing Heidy Khlaaf)",She argues that language such as “rogue” and “loss of human control” can obscure the distinction between autonomy and badly specified objectives operating inside badly secured environments.,Rao's summary of Khlaaf's security critique (link 'Khlaaf’s security critique'; not fetched). = CX13 security_critique field.
HF117,critique,"Venkatesh Rao, Contraptions, 2026-08-31 18:53 UTC (contraptions.venkateshrao.com/p/walter-mitty-effects-in-ai-incident, via r.jina.ai)","The cleanest experiment may be the simplest: repair all of OpenAI’s embarrassing security mistakes, then deliberately provide a large population of agents with a safe persistent shared medium and difficult independent tasks. Does the organizational phenomenon reappear?","Rao's proposed discriminating test; 'If it does, bad security explained the escape but not the swarm.'"
HF118,critique,"Venkatesh Rao, Contraptions, 2026-08-31 18:53 UTC (contraptions.venkateshrao.com/p/walter-mitty-effects-in-ai-incident, via r.jina.ai)",Sloptraptions is an AI-assisted opt-in section of the Contraptions Newsletter.,Rao's own label for the section the essay appears in; markdown italics removed.
HF119,critique,"Adel Ka (@0x4D31) on X, 2026-09-09 21:23:55 UTC, reply to METR D09 (x_amplifiers.csv X104; fx 2097798178309546418)",@METR_Evals great! hope its not another slop-vestigation. plenty of DFIR folks would volunteer if you still havent hired a real security/forensics person,"1,212 views, 11 likes. Bio: 'Detection & Response Lead @perplexity_ai · ex-{OpenAI, Google}'. Shows the term carried into reaction to the Anthropic agreement."
